Date,Close,High,Low,Open,Volume,nifty100_return
2023-01-13,18126.25,18157.150390625,17949.150390625,18041.19921875,4377700,0.005433081017367503
2023-01-16,18074.19921875,18212.0,18029.0,18191.849609375,3604900,-0.002871569202123947
2023-01-17,18216.400390625,18235.349609375,18065.44921875,18102.150390625,4628800,0.007867633312765632
2023-01-18,18307.400390625,18324.30078125,18189.55078125,18237.599609375,5035800,0.004995498454614111
2023-01-19,18244.75,18291.650390625,18202.80078125,18260.099609375,4132000,-0.003422134726298043
2023-01-20,18169.44921875,18278.150390625,18156.0,18252.80078125,4497900,-0.0041272574987325505
2023-01-23,18249.349609375,18292.5,18203.849609375,18254.69921875,3911600,0.0043975130816042984
2023-01-24,18245.349609375,18323.75,18210.5,18313.599609375,4282800,-0.00021918589350411466
2023-01-25,17974.349609375,18219.900390625,17950.400390625,18213.55078125,7325600,-0.014853099874871822
2023-01-27,17594.5,17953.30078125,17483.900390625,17946.0,9731100,-0.0211328708759998
2023-01-30,17571.849609375,17676.599609375,17331.900390625,17498.650390625,8473900,-0.0012873563116314601
2023-01-31,17601.0,17644.150390625,17467.5,17636.75,8126800,0.00165892556976166
2023-02-01,17516.150390625,17866.94921875,17247.599609375,17744.849609375,9620500,-0.004820726627748462
2023-02-02,17490.30078125,17534.349609375,17321.0,17401.25,8234700,-0.0014757585884187518
2023-02-03,17687.349609375,17701.80078125,17422.19921875,17574.5,7429500,0.011266177213844264
2023-02-06,17611.44921875,17652.19921875,17541.80078125,17648.69921875,5428700,-0.004291224649326186
2023-02-07,17569.69921875,17654.900390625,17504.25,17626.44921875,6532800,-0.0023706169481810813
2023-02-08,17719.849609375,17743.900390625,17596.849609375,17598.55078125,7687400,0.00854598526449224
2023-02-09,17723.849609375,17751.650390625,17625.25,17724.25,6945900,0.00022573555014160362
2023-02-10,17685.44921875,17704.44921875,17634.94921875,17675.400390625,6144000,-0.00216659424850274
2023-02-13,17575.150390625,17697.099609375,17532.0,17679.400390625,4600000,-0.00623669926393855
2023-02-14,17702.349609375,17721.900390625,17581.599609375,17626.30078125,4760100,0.007237446959079907
2023-02-15,17786.900390625,17804.900390625,17629.30078125,17664.05078125,3965300,0.004776246267626627
2023-02-16,17814.900390625,17907.0,17783.30078125,17856.94921875,4574600,0.0015741922080341197
2023-02-17,17721.05078125,17808.55078125,17666.30078125,17753.25,4056300,-0.005268040085387615
2023-02-20,17626.900390625,17768.75,17600.849609375,17737.099609375,4475900,-0.005312912410623927
2023-02-21,17604.400390625,17699.25,17579.099609375,17682.849609375,4580600,-0.0012764581123954066
2023-02-22,17335.0,17539.94921875,17307.099609375,17529.650390625,4264400,-0.015303014283205352
2023-02-23,17286.30078125,17386.30078125,17224.19921875,17349.80078125,5425400,-0.0028093001874819334
2023-02-24,17242.150390625,17369.0,17198.30078125,17357.19921875,4444200,-0.0025540681713052127
2023-02-27,17156.150390625,17212.900390625,17060.099609375,17200.25,4584900,-0.004987776933366717
2023-02-28,17083.80078125,17195.349609375,17039.599609375,17145.30078125,8966700,-0.0042171237560691965
2023-03-01,17238.44921875,17253.44921875,17124.099609375,17134.900390625,4760200,0.009052343765898474
2023-03-02,17129.650390625,17236.099609375,17112.650390625,17217.05078125,4818600,-0.006311404624881334
2023-03-03,17385.94921875,17433.900390625,17241.400390625,17258.19921875,5967800,0.01496229183201958
